Feature ID,Feature,Short Description,Primary Languages,File Paths,Key Symbols / Functions,Config Knobs,Status,Priority,Notes
F001,Extension Core Pipeline,Collector/batching/transport pipeline used by browser extension,TypeScript,"services/extension/src/core/pipeline.ts; services/extension/src/core/interfaces.ts","CorePipeline, createPipeline, getStats, processMetric, flushNow","batchSize, flushInterval, transport.timeout, outbox.enabled",Implemented,High,"Handles pause/resume, negative acks, batching to sinks"
F002,Latency Root-Cause Predictor,Client-side latency analysis & root-cause predictor,TypeScript,services/extension/src/logic/predict_latency_cause.ts,"extractFeatures, predictLatencyCause, analyzeLatency","model.coefficients, threshold.probability",Implemented,High,"Uses PerformanceNavigationTiming/resource timing; returns cause and probability"
F003,Schema Validation,AJV/Zod validation for EventEnvelope and IngestRequest,TypeScript,services/extension/src/modules/validation.ts,"validateEvent, validateIngestRequest","schemaPaths, strictMode",Implemented,Medium,"References JSON schemas under @schemas/*.schema.json"
F004,Session Intent Pipeline,Intent classification pipeline for user sessions,TypeScript,services/extension/src/intent/pipeline.ts,"SessionIntentPipeline, createIntentPipeline","classifier.modelPath, windowMs, debounceMs",Implemented,Medium,"Metrics + start/stop/updateConfig available"
F005,Desktop Bridge & Adapters,Bridge transport and adapters for desktop client,TypeScript,"services/desktop/src/lib/bridge/bridgeClient.ts; services/desktop/src/lib/adapters/*","BridgeClient.connect, MockBridgeTransport, HttpSink, GrpcSink, LocalFileSink","heartbeat.interval, ackTimeout",Implemented,Medium,"Includes adapter tests and latency metrics"
F006,Agent Redaction Pipeline,PII redaction pipeline in the Rust agent,Rust,client/agent/src/pipeline/redact.rs,"RedactionPipeline, process","redaction.rules, mode",Implemented,High,"Unit tests cover common PII cases"
F007,Manuality Classifier (Agent),ONNX-based manuality classifier used in agent enrichment,Rust,services/agent-rust/src/ml/manuality.rs; services/agent-rust/src/pipeline/enrich.rs,"ManualityClassifier::from_onnx_file, predict, classify_manuality","model_path, threshold.probability, batchSize",Implemented,High,"Fallback to MockManualityClassifier; ONNX models under ml/"
F008,Server Egress Advisor,Egress/cost advisor and recommendations,Go,services/server/internal/advisor/retention.go,"CostBenefitAdvisor.AnalyzeEgressCosts, HandleGetEgressAnalysis","egressThreshold, compression.enabled",Implemented,Low,"Provides caching/compression/region recommendations"
F009,Correlation Service,Correlates web events and latency anomalies,Go,services/server/internal/services/correlation_service.go,"fetchWebEvents, correlateLatency, severityMapping","minLatencyMs, correlationWindow",Implemented,High,"Used by server to map client-side latency to backend anomalies"
F010,Tracing Storage (ClickHouse),Trace span storage and schema management,Java,services/tracing-service/src/.../ClickHouseTraceStorage.java,"initializeSchema, writeSpans","clickhouse.connection, retention.days",Implemented,High,"OpenTelemetry integration and schema initialization"
F011,ML Training & Artifacts,Model training scripts and ONNX/pickle artifacts,Python & ML,ml/training/*; ml/mlruns/*,"trainer_slice2.py, config_slice2.yaml, logistic_regression_manuality.onnx","training.config, export.onnxPath",Implemented,Medium,"Model artifacts present: .pkl and .onnx; experiment metadata in mlruns/"
F012,Tests & CI,Unit/integration/fuzz tests for extension,desktop,agent,,"services/extension/unit/*.test.ts; services/desktop/test/*; client/agent/tests/*","various test suites and CI scripts","testTimeouts, coverage.thresholds",Partial,High,"Many tests exist; running them requires environment setup (pnpm/cargo/gradle)"
F013,Outbox & Persistence,Local outbox persistence for reliable delivery,multi-lang,services/extension/src/core/*; client/agent/src/outbox/*,"outbox.flush, outbox.enqueue","outbox.path, retry.count, retry.backoff",Implemented,High,"Used to survive transient transport failures"
F014,Plugin / WASM Loader,Agent extensibility via plugins/WASM,Rust,crates/common/*; services/agent-rust/src/plugins/*,"WasmLoader, load_plugin, execute_hook","plugins.path, sandbox.memoryLimit",Partially Implemented,Medium,"Plugin loading present; review security/sandboxing"
F015,Observability & Metrics,OpenTelemetry, Prometheus metrics and export,multi-lang,services/*/src/*,"OTLP exporters, metric registries","otlp.endpoint, prometheus.port, sampling.rate",Implemented,High,"Instrumentation present across services (tracing-service, metrics-service)"
F016,Priority Action Items,Export & issue creation (meta-row),, , , , ,Pending,High,"Choose action: (A) CSV (done), (B) create GitHub issues, (C) prioritized sprint list"
F017,Extension Packaging & Manifest,Packaging, manifest.json and build-time packaging artifacts for extension,TypeScript,"services/extension/manifest.json; services/extension/scripts/build-production.sh; services/extension/playwright.config.ts","manifest.version, permissions, browser_specific_settings","manifest.version, permissions, build.targets",Implemented,High,"Referenced by Playwright tests & build scripts; critical for distribution"
F018,Authentication & RBAC,Auth flows and RBAC for server and extension (Auth0/OpenID/JWT),Multi-lang,"services/extension/.env.local; services/identity-service/*; BUILD_AND_DEPLOY.md","auth.provider, jwt.validation, rbac.roles","auth.provider, jwt.publicKey, rbac.enabled",Partially Implemented,High,"Env vars and libraries present; ensure production secrets and RBAC enforcement"
F019,Adaptive Sampling & Policy Engine,Sampling rules and policy-driven sampling across agents,Rust/Go,"client/agent/src/policy/mod.rs; client/agent/src/sampling/mod.rs; ARCHITECTURE_CORRECTION.md","create_default_sampling_policies, AdjustSampling, AdaptiveSampling","sampling.rate, policy.rules, adjustSampling.enabled",Implemented,High,"Cross-cutting: agent runtime + server-driven policies"
F020,Background Supervisor & Graceful Shutdown,Supervisor for background tasks and graceful shutdown logic,Rust,"client/agent/src/main.rs; client/agent/src/ingest/mod.rs; client/agent/src/core/queue.rs","supervisor.start, start_background_tasks, cancel_background_tasks","supervisor.strategy, shutdown.timeout",Implemented,Medium,"Important for stability and testability of background workers"
F021,SBOM & Release Automation,Supplier BOM generation and CI publishing scripts,Shell/Node,"services/extension/scripts/generate-sbom.sh; services/extension/package.json; scripts/generate-extension-sbom.sh","generate-sbom, sbom:summary","sbom.outputPath, ci.sbomJob",Implemented,Medium,"SBOM scripts exist; recommend CI step to publish SBOM artifacts"
F022,Deployment & Containerization,Docker/Compose/Kubernetes manifests and runbooks for services,Multi-lang,"docker-compose.yml; init-dev.sh; BUILD_AND_DEPLOY.md;k8s/ (if present)","docker-compose up, k8s manifests, Dockerfile","container.image, k8s.replicaCount, ingress.tls",Partially Implemented,High,"Docs & scripts exist; formalize manifests and CI/CD deployment pipelines"
F023,Config Server (mock + production),Authoritative config service and local mock for dev,Node/Go,"tools/mock-config-server; BUILD_AND_DEPLOY.md; services/*/config-client","GET /config, POST /apply, /validate","config.endpoint, auth.required, audit.enabled",Implemented,Medium,"Mock server referenced in docs; ensure production config server has auth and audit"
F024,Alerting Integrations & Secret Management,Alerting channels and secret handling for credentials,Java/Shell,"services/alerting-service/src/.../AlertingConfig.java; BUILD_AND_DEPLOY.md","getTwilioAuthToken, alert.send","alerting.twilio.token, secrets.backend",Implemented,Medium,"Secrets read from env; consider vault integration for production"
F025,Extension UI & Settings Pages,User-facing extension UI (popup, options) and settings storage,TypeScript/HTML/React,"services/extension/src/ui/*; manifest.json; services/extension/docs/*","popup.html, options.html, settings.store","ui.popup, options.page, settings.cacheTtl",Present,Medium,"UI manifests referenced; validate UX/test coverage"
F026,Schema & Protobuf Catalog,Central registry of proto and JSON schemas for codegen,proto/JSON,"proto/*; buf.gen.*.yaml; services/extension/src/modules/*.schema.json","buf.gen configs, schema files, protoc outputs","proto.version, schema.path, codegen.targets",Implemented,High,"Schemas and buf config present; keep catalog up-to-date with codegen"
F027,Test Automation & CI (Playwright, unit, fuzz),Automated test suites, Playwright config and CI workflows,TypeScript/JS,"services/extension/playwright.config.ts; services/extension/tests/*; .github/workflows/*","playwright.config, jest.config, fuzz tests","ci.matrix, testTimeouts, coverage.thresholds",Implemented/Partial,High,"Playwright tests reference manifest; ensure CI matrix runs across browsers"
F028,Deployment Safety & Rollbacks,Automated rollback and canary deployment strategies,Docs/Shell,"BUILD_AND_DEPLOY.md; demo_plan4_final.py; deployment scripts","rollback.policy, canary.deploy","rollback.enabled, canary.percentage",Partial,Medium,"Docs mention rollbacks; implement CI runbooks and automated rollback hooks"
